学号  姓名  性别   年龄       班级
01     张       男       21        1903
02     王       男       21        1903
03     李       男       22        1903
04     赵       女       24        1903
05     钱       男       23        1903
06     孙       女       20        1903
07     周       女       19        1903
08     吴       男       25        1903 
09     郑       男       24        1903
10     刘       男       23        1903
11     许       男       20        1903
12     蔡       女       26        1903
13     杨       男       22        1903
14     职       男       26        1903
15     司马    女       19        1903
16     上官    男       18        1903
